Date,AMRUTANJAN
2013-01-01,155.0
2013-01-02,158.75
2013-01-03,157.5
2013-01-04,157.05
2013-01-07,156.55
2013-01-08,156.35
2013-01-09,155.1
2013-01-10,154.35
2013-01-11,153.1
2013-01-14,153.4
2013-01-15,153.2
2013-01-16,151.4
2013-01-17,151.8
2013-01-18,150.4
2013-01-21,152.15
2013-01-22,150.65
2013-01-23,151.65
2013-01-24,148.65
2013-01-25,148.3
2013-01-28,148.45
2013-01-29,147.9
2013-01-30,148.05
2013-01-31,147.5
2013-02-01,146.95
2013-02-04,144.8
2013-02-05,141.3
2013-02-06,149.0
2013-02-07,146.85
2013-02-08,143.3
2013-02-11,141.55
2013-02-12,137.9
2013-02-13,139.4
2013-02-14,137.8
2013-02-15,135.5
2013-02-18,136.2
2013-02-19,137.3
2013-02-20,137.55
2013-02-21,134.15
2013-02-22,133.25
2013-02-25,130.85
2013-02-26,127.8
2013-02-27,128.05
2013-02-28,124.1
2013-03-01,124.1
2013-03-04,122.45
2013-03-05,125.95
2013-03-06,127.2
2013-03-07,127.55
2013-03-08,128.1
2013-03-11,127.65
2013-03-12,137.4
2013-03-13,132.6
2013-03-14,132.2
2013-03-15,130.6
2013-03-18,129.0
2013-03-19,127.85
2013-03-20,124.5
2013-03-21,124.45
2013-03-22,118.0
2013-03-25,113.65
2013-03-26,112.4
2013-03-28,115.1
2013-04-01,123.1
2013-04-02,128.05
2013-04-03,128.6
2013-04-04,125.15
2013-04-05,124.35
2013-04-08,124.05
2013-04-09,124.05
2013-04-10,125.05
2013-04-11,125.75
2013-04-12,124.3
2013-04-15,126.7
2013-04-16,127.35
2013-04-17,127.5
2013-04-18,126.45
2013-04-22,127.75
2013-04-23,127.8
2013-04-25,133.75
2013-04-26,130.35
2013-04-29,130.85
2013-04-30,135.45
2013-05-02,134.4
2013-05-03,132.4
2013-05-06,143.45
2013-05-07,146.7
2013-05-08,143.55
2013-05-09,143.2
2013-05-10,141.35
2013-05-11,140.95
2013-05-13,136.4
2013-05-14,136.25
2013-05-15,138.65
2013-05-16,139.55
2013-05-17,139.65
2013-05-20,136.95
2013-05-21,137.1
2013-05-22,135.55
2013-05-23,129.6
2013-05-24,131.8
2013-05-27,135.75
2013-05-28,137.0
2013-05-29,135.15
2013-05-30,132.85
2013-05-31,128.65
2013-06-03,127.5
2013-06-04,127.45
2013-06-05,125.95
2013-06-06,126.25
2013-06-07,128.0
2013-06-10,126.45
2013-06-11,132.65
2013-06-12,128.15
2013-06-13,129.5
2013-06-14,127.0
2013-06-17,127.35
2013-06-18,127.55
2013-06-19,127.0
2013-06-20,123.55
2013-06-21,121.1
2013-06-24,117.25
2013-06-25,117.0
2013-06-26,117.15
2013-06-27,116.95
2013-06-28,120.6
2013-07-01,122.55
2013-07-02,121.8
2013-07-03,119.3
2013-07-04,119.65
2013-07-05,119.75
2013-07-08,121.15
2013-07-09,121.55
2013-07-10,124.05
2013-07-11,123.9
2013-07-12,125.5
2013-07-15,124.8
2013-07-16,122.2
2013-07-17,124.65
2013-07-18,126.35
2013-07-19,125.05
2013-07-22,124.15
2013-07-23,127.85
2013-07-24,123.85
2013-07-25,121.5
2013-07-26,120.4
2013-07-29,120.95
2013-07-30,118.55
2013-07-31,117.7
2013-08-01,115.2
2013-08-02,113.85
2013-08-05,109.45
2013-08-06,106.35
2013-08-07,105.15
2013-08-08,103.95
2013-08-12,104.1
2013-08-13,113.35
2013-08-14,111.9
2013-08-16,107.0
2013-08-19,103.15
2013-08-20,103.95
2013-08-21,101.35
2013-08-22,103.95
2013-08-23,104.85
2013-08-26,104.35
2013-08-27,99.7
2013-08-28,99.1
2013-08-29,101.6
2013-08-30,99.7
2013-09-02,101.4
2013-09-03,101.55
2013-09-04,97.95
2013-09-05,101.0
2013-09-06,101.75
2013-09-10,103.4
2013-09-11,111.65
2013-09-12,107.05
2013-09-13,108.15
2013-09-16,119.75
2013-09-17,124.1
2013-09-18,119.35
2013-09-19,116.5
2013-09-20,113.6
2013-09-23,111.65
2013-09-24,112.6
2013-09-25,111.4
2013-09-26,112.9
2013-09-27,110.8
2013-09-30,110.6
2013-10-01,111.4
2013-10-03,112.75
2013-10-04,112.0
2013-10-07,112.55
2013-10-08,112.05
2013-10-09,114.15
2013-10-10,114.1
2013-10-11,116.5
2013-10-14,112.55
2013-10-15,111.4
2013-10-17,111.85
2013-10-18,112.7
2013-10-21,112.6
2013-10-22,114.4
2013-10-23,113.4
2013-10-24,114.4
2013-10-25,116.1
2013-10-28,114.2
2013-10-29,112.9
2013-10-30,112.3
2013-10-31,112.65
2013-11-01,113.8
2013-11-03,113.85
2013-11-05,118.7
2013-11-06,115.3
2013-11-07,116.4
2013-11-08,115.4
2013-11-11,120.85
2013-11-12,117.0
2013-11-13,116.5
2013-11-14,120.65
2013-11-18,118.9
2013-11-19,118.35
2013-11-20,117.6
2013-11-21,114.75
2013-11-22,114.5
2013-11-25,116.55
2013-11-26,114.8
2013-11-27,113.85
2013-11-28,115.8
2013-11-29,115.3
2013-12-02,124.6
2013-12-03,121.45
2013-12-04,120.3
2013-12-05,119.45
2013-12-06,120.8
2013-12-09,121.9
2013-12-10,120.35
2013-12-11,120.3
2013-12-12,126.95
2013-12-13,120.65
2013-12-16,120.55
2013-12-17,118.9
2013-12-18,121.75
2013-12-19,121.75
2013-12-20,123.5
2013-12-23,124.75
2013-12-24,130.9
2013-12-26,133.85
2013-12-27,133.0
2013-12-30,131.8
2013-12-31,130.9
