Date,CANTABIL
2013-01-01,19.2
2013-01-02,20.2
2013-01-03,20.85
2013-01-04,20.25
2013-01-07,20.05
2013-01-08,19.8
2013-01-09,19.45
2013-01-10,19.4
2013-01-11,19.2
2013-01-14,19.4
2013-01-15,19.55
2013-01-16,18.8
2013-01-17,18.55
2013-01-18,18.5
2013-01-21,18.4
2013-01-22,18.5
2013-01-23,18.25
2013-01-24,17.75
2013-01-25,17.6
2013-01-28,17.35
2013-01-29,17.2
2013-01-30,17.1
2013-01-31,17.2
2013-02-01,16.55
2013-02-04,16.95
2013-02-05,16.9
2013-02-06,16.8
2013-02-07,16.8
2013-02-08,16.35
2013-02-11,17.3
2013-02-12,18.05
2013-02-13,17.2
2013-02-14,16.85
2013-02-15,16.4
2013-02-18,17.1
2013-02-19,16.75
2013-02-20,17.0
2013-02-21,17.05
2013-02-22,17.3
2013-02-25,17.55
2013-02-26,16.45
2013-02-27,17.0
2013-02-28,16.8
2013-03-01,17.6
2013-03-04,17.9
2013-03-05,17.5
2013-03-06,17.1
2013-03-07,17.45
2013-03-08,17.0
2013-03-11,16.65
2013-03-12,15.95
2013-03-13,18.35
2013-03-14,18.1
2013-03-15,19.45
2013-03-18,19.35
2013-03-19,19.9
2013-03-20,19.2
2013-03-21,19.05
2013-03-22,19.05
2013-03-25,18.85
2013-03-26,17.75
2013-03-28,17.75
2013-04-01,18.0
2013-04-02,18.0
2013-04-03,18.05
2013-04-04,18.0
2013-04-05,18.3
2013-04-08,18.0
2013-04-09,17.95
2013-04-10,17.55
2013-04-11,18.2
2013-04-12,18.25
2013-04-15,17.55
2013-04-16,18.45
2013-04-17,18.5
2013-04-18,18.25
2013-04-22,18.55
2013-04-23,19.85
2013-04-25,20.3
2013-04-26,20.0
2013-04-29,18.85
2013-04-30,20.45
2013-05-02,20.35
2013-05-03,20.15
2013-05-06,20.25
2013-05-07,19.8
2013-05-08,20.0
2013-05-09,19.75
2013-05-10,20.3
2013-05-11,19.95
2013-05-13,19.6
2013-05-14,20.15
2013-05-15,19.6
2013-05-16,19.7
2013-05-17,19.5
2013-05-20,19.5
2013-05-21,19.55
2013-05-22,19.45
2013-05-23,18.75
2013-05-24,18.5
2013-05-27,18.8
2013-05-28,18.75
2013-05-29,18.75
2013-05-30,18.35
2013-05-31,18.25
2013-06-03,17.9
2013-06-04,17.1
2013-06-05,16.3
2013-06-06,15.85
2013-06-07,16.0
2013-06-10,16.0
2013-06-11,16.9
2013-06-12,16.15
2013-06-13,16.5
2013-06-14,16.7
2013-06-17,17.0
2013-06-18,17.0
2013-06-19,17.4
2013-06-20,17.0
2013-06-21,17.0
2013-06-24,17.0
2013-06-25,17.25
2013-06-26,16.85
2013-06-27,16.0
2013-06-28,16.0
2013-07-01,16.25
2013-07-02,16.2
2013-07-03,16.2
2013-07-04,16.05
2013-07-05,16.15
2013-07-08,15.9
2013-07-09,16.0
2013-07-10,16.0
2013-07-11,15.9
2013-07-12,16.25
2013-07-15,16.0
2013-07-16,16.9
2013-07-17,16.1
2013-07-18,17.5
2013-07-19,17.3
2013-07-22,17.3
2013-07-23,17.55
2013-07-24,18.0
2013-07-25,17.85
2013-07-26,17.9
2013-07-29,17.95
2013-07-30,18.2
2013-07-31,17.95
2013-08-01,17.85
2013-08-02,17.9
2013-08-05,17.1
2013-08-06,16.25
2013-08-07,16.25
2013-08-08,17.0
2013-08-12,16.1
2013-08-13,16.05
2013-08-14,16.1
2013-08-16,15.9
2013-08-19,15.05
2013-08-20,15.9
2013-08-21,15.75
2013-08-22,16.4
2013-08-23,17.25
2013-08-26,16.0
2013-08-27,16.0
2013-08-28,16.05
2013-08-29,16.0
2013-08-30,17.0
2013-09-02,17.05
2013-09-03,16.55
2013-09-04,17.2
2013-09-05,17.5
2013-09-06,17.5
2013-09-10,17.5
2013-09-11,17.4
2013-09-12,17.5
2013-09-13,17.55
2013-09-16,17.5
2013-09-17,17.5
2013-09-18,17.55
2013-09-19,17.5
2013-09-20,17.5
2013-09-23,17.45
2013-09-24,17.5
2013-09-25,17.55
2013-09-26,17.7
2013-09-27,17.5
2013-09-30,17.5
2013-10-01,17.1
2013-10-03,17.5
2013-10-04,17.05
2013-10-07,17.2
2013-10-08,17.15
2013-10-09,17.25
2013-10-10,17.0
2013-10-11,16.9
2013-10-14,16.55
2013-10-15,16.65
2013-10-17,17.0
2013-10-18,16.65
2013-10-21,16.9
2013-10-22,17.1
2013-10-23,16.45
2013-10-24,16.25
2013-10-25,16.0
2013-10-28,16.1
2013-10-29,16.55
2013-10-30,16.05
2013-10-31,17.0
2013-11-01,16.75
2013-11-03,16.35
2013-11-05,17.0
2013-11-06,17.0
2013-11-07,17.3
2013-11-08,17.15
2013-11-11,17.0
2013-11-12,17.0
2013-11-13,17.7
2013-11-14,17.5
2013-11-18,18.25
2013-11-19,18.3
2013-11-20,17.5
2013-11-21,18.3
2013-11-22,19.1
2013-11-25,19.55
2013-11-26,18.55
2013-11-27,17.75
2013-11-28,18.25
2013-11-29,18.0
2013-12-02,18.05
2013-12-03,18.5
2013-12-04,19.0
2013-12-05,19.5
2013-12-06,20.0
2013-12-09,19.0
2013-12-10,18.1
2013-12-11,17.85
2013-12-12,17.7
2013-12-13,17.25
2013-12-16,17.5
2013-12-17,17.65
2013-12-18,18.15
2013-12-19,17.6
2013-12-20,17.7
2013-12-23,17.7
2013-12-24,17.55
2013-12-26,17.65
2013-12-27,17.4
2013-12-30,18.7
2013-12-31,18.0
