Date,GOKUL
2013-01-01,45.3
2013-01-02,46.25
2013-01-03,45.15
2013-01-04,44.2
2013-01-07,44.4
2013-01-08,45.1
2013-01-09,44.45
2013-01-10,43.6
2013-01-11,42.6
2013-01-14,42.9
2013-01-15,42.6
2013-01-16,42.05
2013-01-17,41.35
2013-01-18,40.75
2013-01-21,40.1
2013-01-22,38.7
2013-01-23,42.2
2013-01-24,40.1
2013-01-25,38.7
2013-01-28,38.45
2013-01-29,38.05
2013-01-30,37.75
2013-01-31,38.0
2013-02-01,38.4
2013-02-04,36.95
2013-02-05,35.55
2013-02-06,36.65
2013-02-07,36.9
2013-02-08,36.8
2013-02-11,36.3
2013-02-12,36.8
2013-02-13,34.7
2013-02-14,32.8
2013-02-15,31.25
2013-02-18,31.35
2013-02-19,31.4
2013-02-20,31.1
2013-02-21,28.65
2013-02-22,28.35
2013-02-25,28.15
2013-02-26,22.85
2013-02-27,22.05
2013-02-28,21.75
2013-03-01,20.35
2013-03-04,19.15
2013-03-05,20.95
2013-03-06,23.0
2013-03-07,22.35
2013-03-08,23.95
2013-03-11,24.25
2013-03-12,25.1
2013-03-13,24.0
2013-03-14,24.45
2013-03-15,23.65
2013-03-18,22.6
2013-03-19,22.1
2013-03-20,21.65
2013-03-21,20.8
2013-03-22,19.85
2013-03-25,19.3
2013-03-26,20.1
2013-03-28,19.55
2013-04-01,20.45
2013-04-02,21.1
2013-04-03,21.6
2013-04-04,21.7
2013-04-05,21.35
2013-04-08,21.05
2013-04-09,20.4
2013-04-10,19.95
2013-04-11,20.85
2013-04-12,20.1
2013-04-15,21.0
2013-04-16,21.0
2013-04-17,21.9
2013-04-18,21.6
2013-04-22,22.0
2013-04-23,21.7
2013-04-25,21.15
2013-04-26,20.55
2013-04-29,20.2
2013-04-30,21.0
2013-05-02,20.25
2013-05-03,20.85
2013-05-06,20.15
2013-05-07,19.8
2013-05-08,19.75
2013-05-09,19.65
2013-05-10,20.3
2013-05-11,20.0
2013-05-13,19.15
2013-05-14,19.55
2013-05-15,19.95
2013-05-16,19.5
2013-05-17,19.9
2013-05-20,19.6
2013-05-21,20.45
2013-05-22,19.75
2013-05-23,19.65
2013-05-24,19.9
2013-05-27,19.5
2013-05-28,20.0
2013-05-29,18.95
2013-05-30,18.7
2013-05-31,18.8
2013-06-03,18.5
2013-06-04,18.7
2013-06-05,18.5
2013-06-06,18.5
2013-06-07,18.6
2013-06-10,18.2
2013-06-11,17.55
2013-06-12,17.7
2013-06-13,17.5
2013-06-14,17.25
2013-06-17,17.2
2013-06-18,17.1
2013-06-19,17.1
2013-06-20,17.8
2013-06-21,17.35
2013-06-24,17.05
2013-06-25,17.65
2013-06-26,17.55
2013-06-27,16.15
2013-06-28,16.45
2013-07-01,16.9
2013-07-02,17.05
2013-07-03,17.2
2013-07-04,17.3
2013-07-05,16.5
2013-07-08,17.2
2013-07-09,16.3
2013-07-10,18.2
2013-07-11,17.2
2013-07-12,16.5
2013-07-15,16.35
2013-07-16,15.6
2013-07-17,16.0
2013-07-18,15.35
2013-07-19,15.15
2013-07-22,15.0
2013-07-23,15.05
2013-07-24,15.15
2013-07-25,15.15
2013-07-26,15.0
2013-07-29,15.3
2013-07-30,14.4
2013-07-31,14.3
2013-08-01,14.5
2013-08-02,14.5
2013-08-05,15.55
2013-08-06,14.95
2013-08-07,14.55
2013-08-08,14.3
2013-08-12,14.95
2013-08-13,14.15
2013-08-14,14.95
2013-08-16,15.35
2013-08-19,15.45
2013-08-20,14.8
2013-08-21,14.7
2013-08-22,15.05
2013-08-23,15.4
2013-08-26,15.1
2013-08-27,14.8
2013-08-28,14.5
2013-08-29,14.95
2013-08-30,15.6
2013-09-02,15.5
2013-09-03,15.75
2013-09-04,16.0
2013-09-05,16.2
2013-09-06,15.05
2013-09-10,16.35
2013-09-11,17.0
2013-09-12,16.7
2013-09-13,16.45
2013-09-16,15.8
2013-09-17,16.9
2013-09-18,17.05
2013-09-19,17.4
2013-09-20,16.8
2013-09-23,16.55
2013-09-24,16.65
2013-09-25,17.25
2013-09-26,16.5
2013-09-27,17.9
2013-09-30,16.75
2013-10-01,16.6
2013-10-03,16.3
2013-10-04,17.1
2013-10-07,19.1
2013-10-08,19.3
2013-10-09,17.8
2013-10-10,17.8
2013-10-11,17.85
2013-10-14,17.95
2013-10-15,17.65
2013-10-17,17.35
2013-10-18,17.5
2013-10-21,17.05
2013-10-22,16.65
2013-10-23,16.5
2013-10-24,16.7
2013-10-25,17.45
2013-10-28,17.25
2013-10-29,17.95
2013-10-30,17.8
2013-10-31,18.0
2013-11-01,17.3
2013-11-03,17.55
2013-11-05,17.65
2013-11-06,17.3
2013-11-07,17.1
2013-11-08,18.55
2013-11-11,17.65
2013-11-12,18.0
2013-11-13,17.9
2013-11-14,17.9
2013-11-18,18.2
2013-11-19,17.85
2013-11-20,18.15
2013-11-21,17.25
2013-11-22,18.0
2013-11-25,17.5
2013-11-26,16.55
2013-11-27,16.45
2013-11-28,16.15
2013-11-29,16.0
2013-12-02,17.35
2013-12-03,18.65
2013-12-04,17.55
2013-12-05,17.4
2013-12-06,17.65
2013-12-09,17.3
2013-12-10,16.1
2013-12-11,15.9
2013-12-12,15.85
2013-12-13,16.0
2013-12-16,15.8
2013-12-17,15.5
2013-12-18,15.45
2013-12-19,15.55
2013-12-20,15.6
2013-12-23,15.4
2013-12-24,15.75
2013-12-26,16.4
2013-12-27,16.25
2013-12-30,16.2
2013-12-31,16.55
