Date,JUBILANT
2013-01-01,222.55
2013-01-02,226.85
2013-01-03,224.8
2013-01-04,229.15
2013-01-07,233.2
2013-01-08,232.5
2013-01-09,229.2
2013-01-10,223.5
2013-01-11,219.9
2013-01-14,219.8
2013-01-15,224.0
2013-01-16,217.85
2013-01-17,219.7
2013-01-18,214.7
2013-01-21,215.95
2013-01-22,215.6
2013-01-23,213.45
2013-01-24,204.45
2013-01-25,209.95
2013-01-28,215.2
2013-01-29,219.25
2013-01-30,221.1
2013-01-31,215.95
2013-02-01,212.4
2013-02-04,210.35
2013-02-05,208.45
2013-02-06,207.55
2013-02-07,205.3
2013-02-08,205.2
2013-02-11,206.2
2013-02-12,212.9
2013-02-13,213.25
2013-02-14,206.25
2013-02-15,204.3
2013-02-18,202.65
2013-02-19,204.85
2013-02-20,203.0
2013-02-21,199.2
2013-02-22,203.55
2013-02-25,199.75
2013-02-26,185.9
2013-02-27,175.95
2013-02-28,169.25
2013-03-01,172.05
2013-03-04,173.0
2013-03-05,179.45
2013-03-06,180.0
2013-03-07,180.25
2013-03-08,184.95
2013-03-11,187.0
2013-03-12,187.85
2013-03-13,187.8
2013-03-14,185.15
2013-03-15,186.45
2013-03-18,183.85
2013-03-19,182.45
2013-03-20,177.75
2013-03-21,171.4
2013-03-22,158.9
2013-03-25,165.05
2013-03-26,167.4
2013-03-28,171.5
2013-04-01,175.85
2013-04-02,183.0
2013-04-03,180.8
2013-04-04,182.5
2013-04-05,178.4
2013-04-08,180.3
2013-04-09,174.1
2013-04-10,170.6
2013-04-11,172.25
2013-04-12,169.85
2013-04-15,167.85
2013-04-16,166.5
2013-04-17,163.85
2013-04-18,162.3
2013-04-22,171.35
2013-04-23,174.95
2013-04-25,174.6
2013-04-26,170.05
2013-04-29,169.4
2013-04-30,169.85
2013-05-02,182.2
2013-05-03,177.15
2013-05-06,176.0
2013-05-07,178.3
2013-05-08,162.4
2013-05-09,160.75
2013-05-10,161.85
2013-05-11,161.25
2013-05-13,162.05
2013-05-14,162.55
2013-05-15,162.35
2013-05-16,158.95
2013-05-17,158.85
2013-05-20,156.1
2013-05-21,152.55
2013-05-22,150.9
2013-05-23,143.3
2013-05-24,145.5
2013-05-27,156.3
2013-05-28,162.2
2013-05-29,160.6
2013-05-30,162.35
2013-05-31,155.25
2013-06-03,154.1
2013-06-04,155.75
2013-06-05,158.25
2013-06-06,156.95
2013-06-07,155.15
2013-06-10,155.1
2013-06-11,155.1
2013-06-12,153.95
2013-06-13,151.15
2013-06-14,153.65
2013-06-17,151.65
2013-06-18,149.75
2013-06-19,149.25
2013-06-20,145.55
2013-06-21,141.5
2013-06-24,138.9
2013-06-25,136.0
2013-06-26,121.75
2013-06-27,124.85
2013-06-28,131.0
2013-07-01,135.55
2013-07-02,131.65
2013-07-03,126.55
2013-07-04,123.8
2013-07-05,122.3
2013-07-08,119.1
2013-07-09,119.85
2013-07-10,119.0
2013-07-11,120.35
2013-07-12,118.35
2013-07-15,117.55
2013-07-16,117.8
2013-07-17,107.65
2013-07-18,104.25
2013-07-19,99.45
2013-07-22,95.25
2013-07-23,87.5
2013-07-24,82.85
2013-07-25,86.15
2013-07-26,90.55
2013-07-29,89.2
2013-07-30,88.05
2013-07-31,89.85
2013-08-01,83.75
2013-08-02,90.15
2013-08-05,90.25
2013-08-06,92.15
2013-08-07,90.75
2013-08-08,89.9
2013-08-12,88.2
2013-08-13,87.55
2013-08-14,89.25
2013-08-16,87.25
2013-08-19,86.6
2013-08-20,85.75
2013-08-21,82.9
2013-08-22,79.15
2013-08-23,81.25
2013-08-26,79.35
2013-08-27,76.75
2013-08-28,70.8
2013-08-29,71.7
2013-08-30,72.05
2013-09-02,70.9
2013-09-03,68.5
2013-09-04,68.35
2013-09-05,68.95
2013-09-06,73.75
2013-09-10,81.05
2013-09-11,87.95
2013-09-12,84.35
2013-09-13,88.5
2013-09-16,88.7
2013-09-17,89.95
2013-09-18,88.2
2013-09-19,89.6
2013-09-20,86.3
2013-09-23,84.75
2013-09-24,83.0
2013-09-25,81.75
2013-09-26,80.2
2013-09-27,78.35
2013-09-30,80.0
2013-10-01,79.4
2013-10-03,79.3
2013-10-04,82.9
2013-10-07,83.9
2013-10-08,80.95
2013-10-09,80.2
2013-10-10,78.9
2013-10-11,76.05
2013-10-14,77.75
2013-10-15,75.95
2013-10-17,75.05
2013-10-18,74.75
2013-10-21,72.55
2013-10-22,76.2
2013-10-23,88.75
2013-10-24,106.5
2013-10-25,102.55
2013-10-28,97.25
2013-10-29,100.3
2013-10-30,103.9
2013-10-31,100.1
2013-11-01,100.7
2013-11-03,101.1
2013-11-05,100.1
2013-11-06,104.65
2013-11-07,112.05
2013-11-08,111.2
2013-11-11,109.55
2013-11-12,103.2
2013-11-13,101.6
2013-11-14,106.25
2013-11-18,106.65
2013-11-19,113.7
2013-11-20,117.4
2013-11-21,116.95
2013-11-22,119.0
2013-11-25,121.8
2013-11-26,122.15
2013-11-27,127.2
2013-11-28,127.15
2013-11-29,139.15
2013-12-02,145.55
2013-12-03,146.35
2013-12-04,140.25
2013-12-05,126.25
2013-12-06,116.8
2013-12-09,116.85
2013-12-10,115.45
2013-12-11,119.4
2013-12-12,116.4
2013-12-13,114.6
2013-12-16,119.4
2013-12-17,117.3
2013-12-18,116.35
2013-12-19,120.0
2013-12-20,121.35
2013-12-23,127.4
2013-12-24,128.3
2013-12-26,129.7
2013-12-27,131.75
2013-12-30,134.1
2013-12-31,135.7
