Date,LOTUSEYE
2016-01-01,24.95
2016-01-04,25.15
2016-01-05,24.7
2016-01-06,24.65
2016-01-07,23.45
2016-01-08,22.95
2016-01-11,22.0
2016-01-12,21.15
2016-01-13,20.25
2016-01-14,19.75
2016-01-15,19.0
2016-01-18,18.05
2016-01-19,17.35
2016-01-20,16.65
2016-01-21,16.05
2016-01-22,16.85
2016-01-25,17.65
2016-01-27,18.5
2016-01-28,19.4
2016-01-29,20.35
2016-02-01,21.35
2016-02-02,20.35
2016-02-03,19.35
2016-02-04,18.85
2016-02-05,19.15
2016-02-08,19.35
2016-02-09,18.75
2016-02-10,19.0
2016-02-11,18.05
2016-02-12,17.25
2016-02-15,17.05
2016-02-16,16.5
2016-02-17,16.55
2016-02-18,16.0
2016-02-19,16.8
2016-02-22,17.6
2016-02-23,17.4
2016-02-24,16.65
2016-02-25,16.25
2016-02-26,15.5
2016-02-29,15.85
2016-03-01,16.5
2016-03-02,16.7
2016-03-03,17.35
2016-03-04,18.0
2016-03-08,17.8
2016-03-09,18.0
2016-03-10,17.9
2016-03-11,17.55
2016-03-14,17.9
2016-03-15,17.7
2016-03-16,17.5
2016-03-17,17.0
2016-03-18,17.45
2016-03-21,17.25
2016-03-22,16.95
2016-03-23,16.0
2016-03-28,16.0
2016-03-29,15.9
2016-03-30,16.2
2016-03-31,15.9
2016-04-01,16.25
2016-04-04,15.9
2016-04-05,15.75
2016-04-06,16.35
2016-04-07,17.15
2016-04-08,17.35
2016-04-11,17.4
2016-04-12,17.4
2016-04-13,18.75
2016-04-18,18.9
2016-04-20,18.65
2016-04-21,18.2
2016-04-22,18.3
2016-04-25,18.65
2016-04-26,18.3
2016-04-27,18.25
2016-04-28,18.55
2016-04-29,18.85
2016-05-02,18.85
2016-05-03,18.35
2016-05-04,18.05
2016-05-05,17.95
2016-05-06,17.1
2016-05-09,17.15
2016-05-10,18.25
2016-05-11,17.65
2016-05-12,18.85
2016-05-13,17.65
2016-05-16,17.45
2016-05-17,17.2
2016-05-18,17.05
2016-05-19,17.0
2016-05-20,16.8
2016-05-23,15.7
2016-05-24,15.85
2016-05-25,15.95
2016-05-26,15.9
2016-05-27,15.75
2016-05-30,16.05
2016-05-31,15.65
2016-06-01,15.65
2016-06-02,15.55
2016-06-03,15.5
2016-06-06,15.3
2016-06-07,15.45
2016-06-08,17.65
2016-06-09,18.2
2016-06-10,17.3
2016-06-13,17.2
2016-06-14,16.9
2016-06-15,17.5
2016-06-16,16.8
2016-06-17,17.1
2016-06-20,16.55
2016-06-21,16.5
2016-06-22,15.95
2016-06-23,15.95
2016-06-24,15.85
2016-06-27,17.05
2016-06-28,16.95
2016-06-29,16.75
2016-06-30,16.85
2016-07-01,17.05
2016-07-04,17.75
2016-07-05,17.4
2016-07-07,17.05
2016-07-08,16.85
2016-07-11,17.05
2016-07-12,17.15
2016-07-13,16.75
2016-07-14,16.9
2016-07-15,16.7
2016-07-18,16.8
2016-07-19,17.95
2016-07-20,17.5
2016-07-21,17.2
2016-07-22,17.0
2016-07-25,17.3
2016-07-26,16.85
2016-07-27,16.7
2016-07-28,16.8
2016-07-29,16.7
2016-08-01,16.6
2016-08-02,16.3
2016-08-03,15.75
2016-08-04,15.85
2016-08-05,15.85
2016-08-08,16.1
2016-08-09,16.1
2016-08-10,15.8
2016-08-11,16.95
2016-08-12,17.05
2016-08-16,16.15
2016-08-17,16.0
2016-08-18,16.05
2016-08-19,16.35
2016-08-22,16.0
2016-08-23,16.15
2016-08-24,15.95
2016-08-25,16.05
2016-08-26,15.9
2016-08-29,15.85
2016-08-30,15.8
2016-08-31,15.75
2016-09-01,15.45
2016-09-02,15.6
2016-09-06,15.4
2016-09-07,15.1
2016-09-08,15.5
2016-09-09,15.55
2016-09-12,15.7
2016-09-14,16.65
2016-09-15,16.6
2016-09-16,16.6
2016-09-19,19.9
2016-09-20,18.25
2016-09-21,19.95
2016-09-22,19.95
2016-09-23,19.55
2016-09-26,19.25
2016-09-27,18.9
2016-09-28,19.15
2016-09-29,17.9
2016-09-30,18.15
2016-10-03,19.0
2016-10-04,22.8
2016-10-05,22.3
2016-10-06,21.55
2016-10-07,23.5
2016-10-10,26.75
2016-10-13,24.5
2016-10-14,24.9
2016-10-17,23.45
2016-10-18,22.85
2016-10-19,22.7
2016-10-20,21.7
2016-10-21,21.7
2016-10-24,21.2
2016-10-25,22.0
2016-10-26,23.35
2016-10-27,24.0
2016-10-28,24.15
2016-10-30,25.9
2016-11-01,25.85
2016-11-02,25.05
2016-11-03,24.25
2016-11-04,22.75
2016-11-07,23.2
2016-11-08,23.0
2016-11-09,22.15
2016-11-10,22.65
2016-11-11,21.25
2016-11-15,19.85
2016-11-16,19.6
2016-11-17,18.1
2016-11-18,18.3
2016-11-21,18.0
2016-11-22,18.5
2016-11-23,19.2
2016-11-24,18.7
2016-11-25,19.55
2016-11-28,19.55
2016-11-29,23.45
2016-11-30,24.9
2016-12-01,26.1
2016-12-02,26.7
2016-12-05,31.95
2016-12-06,29.7
2016-12-07,27.7
2016-12-08,29.95
2016-12-09,29.7
2016-12-12,29.8
2016-12-13,29.8
2016-12-14,29.05
2016-12-15,28.75
2016-12-16,28.05
2016-12-19,29.9
2016-12-20,28.45
2016-12-21,27.95
2016-12-22,25.95
2016-12-23,25.25
2016-12-26,24.8
2016-12-27,27.25
2016-12-28,27.5
2016-12-29,28.65
2016-12-30,28.55
