Date,BAJAJELEC
2017-01-02,221.05
2017-01-03,226.4
2017-01-04,226.35
2017-01-05,232.8
2017-01-06,229.1
2017-01-09,231.0
2017-01-10,233.8
2017-01-11,230.35
2017-01-12,228.05
2017-01-13,228.35
2017-01-16,230.3
2017-01-17,230.45
2017-01-18,227.55
2017-01-19,226.95
2017-01-20,228.05
2017-01-23,228.9
2017-01-24,231.8
2017-01-25,239.5
2017-01-27,242.2
2017-01-30,240.2
2017-01-31,241.1
2017-02-01,243.6
2017-02-02,244.95
2017-02-03,250.2
2017-02-06,243.4
2017-02-07,249.85
2017-02-08,250.45
2017-02-09,263.1
2017-02-10,270.6
2017-02-13,265.1
2017-02-14,256.9
2017-02-15,251.1
2017-02-16,255.3
2017-02-17,258.8
2017-02-20,259.5
2017-02-21,257.1
2017-02-22,262.85
2017-02-23,262.15
2017-02-27,259.0
2017-02-28,260.25
2017-03-01,262.2
2017-03-02,256.3
2017-03-03,258.65
2017-03-06,265.4
2017-03-07,273.9
2017-03-08,279.75
2017-03-09,282.45
2017-03-10,296.25
2017-03-14,315.45
2017-03-15,306.75
2017-03-16,308.65
2017-03-17,308.4
2017-03-20,311.4
2017-03-21,312.0
2017-03-22,309.7
2017-03-23,315.3
2017-03-24,316.1
2017-03-27,314.0
2017-03-28,310.15
2017-03-29,316.0
2017-03-30,320.7
2017-03-31,313.05
2017-04-03,370.45
2017-04-05,348.55
2017-04-06,351.55
2017-04-07,343.3
2017-04-10,347.2
2017-04-11,347.4
2017-04-12,350.15
2017-04-13,347.5
2017-04-17,354.5
2017-04-18,346.15
2017-04-19,353.1
2017-04-20,354.25
2017-04-21,348.05
2017-04-24,349.55
2017-04-25,347.95
2017-04-26,347.25
2017-04-27,347.2
2017-04-28,351.8
2017-05-02,353.2
2017-05-03,349.15
2017-05-04,351.45
2017-05-05,349.1
2017-05-08,352.1
2017-05-09,353.2
2017-05-10,351.2
2017-05-11,350.6
2017-05-12,350.75
2017-05-15,341.15
2017-05-16,347.0
2017-05-17,349.85
2017-05-18,334.1
2017-05-19,336.2
2017-05-22,313.25
2017-05-23,315.55
2017-05-24,327.95
2017-05-25,346.2
2017-05-26,359.45
2017-05-29,348.7
2017-05-30,342.85
2017-05-31,342.05
2017-06-01,341.45
2017-06-02,352.15
2017-06-05,357.6
2017-06-06,357.65
2017-06-07,357.9
2017-06-08,356.5
2017-06-09,350.0
2017-06-12,348.45
2017-06-13,343.5
2017-06-14,349.3
2017-06-15,345.6
2017-06-16,343.95
2017-06-19,346.8
2017-06-20,341.4
2017-06-21,342.35
2017-06-22,340.0
2017-06-23,328.4
2017-06-27,324.6
2017-06-28,325.05
2017-06-29,331.8
2017-06-30,326.75
2017-07-03,328.25
2017-07-04,324.4
2017-07-05,321.3
2017-07-06,330.8
2017-07-07,328.6
2017-07-10,330.7
2017-07-11,339.2
2017-07-12,333.85
2017-07-13,330.5
2017-07-14,339.1
2017-07-17,336.8
2017-07-18,332.0
2017-07-19,333.1
2017-07-20,335.4
2017-07-21,336.85
2017-07-24,338.45
2017-07-25,336.05
2017-07-26,340.65
2017-07-27,339.15
2017-07-28,335.7
2017-07-31,327.7
2017-08-01,323.05
2017-08-02,329.0
2017-08-03,328.25
2017-08-04,325.9
2017-08-07,331.95
2017-08-08,329.85
2017-08-09,319.95
2017-08-10,302.3
2017-08-11,306.7
2017-08-14,304.75
2017-08-16,315.45
2017-08-17,328.9
2017-08-18,329.6
2017-08-21,327.55
2017-08-22,333.3
2017-08-23,339.5
2017-08-24,340.2
2017-08-28,340.9
2017-08-29,337.1
2017-08-30,342.15
2017-08-31,348.1
2017-09-01,341.8
2017-09-04,345.4
2017-09-05,343.8
2017-09-06,343.45
2017-09-07,339.7
2017-09-08,345.8
2017-09-11,367.85
2017-09-12,377.75
2017-09-13,372.8
2017-09-14,402.85
2017-09-15,389.6
2017-09-18,401.6
2017-09-19,389.3
2017-09-20,382.85
2017-09-21,376.6
2017-09-22,373.35
2017-09-25,357.75
2017-09-26,358.45
2017-09-27,355.3
2017-09-28,357.0
2017-09-29,353.05
2017-10-03,362.85
2017-10-04,359.35
2017-10-05,366.7
2017-10-06,366.65
2017-10-09,389.3
2017-10-10,386.85
2017-10-11,376.6
2017-10-12,375.6
2017-10-13,392.75
2017-10-16,397.15
2017-10-17,414.75
2017-10-18,418.65
2017-10-19,409.85
2017-10-23,404.35
2017-10-24,387.2
2017-10-25,380.9
2017-10-26,389.55
2017-10-27,384.55
2017-10-30,385.3
2017-10-31,388.0
2017-11-01,386.45
2017-11-02,392.45
2017-11-03,393.05
2017-11-06,393.3
2017-11-07,381.2
2017-11-08,379.3
2017-11-09,384.45
2017-11-10,406.95
2017-11-13,406.1
2017-11-14,413.25
2017-11-15,405.0
2017-11-16,401.15
2017-11-17,400.7
2017-11-20,407.95
2017-11-21,408.4
2017-11-22,414.15
2017-11-23,464.45
2017-11-24,473.65
2017-11-27,491.1
2017-11-28,494.55
2017-11-29,479.75
2017-11-30,467.0
2017-12-01,449.1
2017-12-04,453.9
2017-12-05,448.05
2017-12-06,474.1
2017-12-07,492.6
2017-12-08,482.2
2017-12-11,491.25
2017-12-12,480.0
2017-12-13,467.2
2017-12-14,451.3
2017-12-15,467.85
2017-12-18,477.15
2017-12-19,476.65
2017-12-20,482.15
2017-12-21,479.0
2017-12-22,476.5
2017-12-26,473.75
2017-12-27,486.9
2017-12-28,494.35
2017-12-29,497.7
