Date,MAANALU
2017-01-02,75.7
2017-01-03,78.75
2017-01-04,80.0
2017-01-05,84.55
2017-01-06,83.15
2017-01-09,82.6
2017-01-10,83.45
2017-01-11,87.65
2017-01-12,86.3
2017-01-13,83.0
2017-01-16,81.35
2017-01-17,78.75
2017-01-18,78.85
2017-01-19,78.5
2017-01-20,84.25
2017-01-23,91.65
2017-01-24,100.6
2017-01-25,105.6
2017-01-27,110.85
2017-01-30,111.8
2017-01-31,106.25
2017-02-01,107.55
2017-02-02,109.9
2017-02-03,110.0
2017-02-06,107.8
2017-02-07,106.2
2017-02-08,104.75
2017-02-09,103.95
2017-02-10,103.2
2017-02-13,101.3
2017-02-14,102.75
2017-02-15,99.65
2017-02-16,95.65
2017-02-17,93.9
2017-02-20,97.0
2017-02-21,101.45
2017-02-22,103.35
2017-02-23,102.25
2017-02-27,101.15
2017-02-28,101.8
2017-03-01,101.95
2017-03-02,101.1
2017-03-03,98.3
2017-03-06,103.2
2017-03-07,104.0
2017-03-08,108.7
2017-03-09,112.55
2017-03-10,115.55
2017-03-14,121.3
2017-03-15,124.6
2017-03-16,123.85
2017-03-17,123.95
2017-03-20,123.15
2017-03-21,118.45
2017-03-22,116.0
2017-03-23,118.0
2017-03-24,122.55
2017-03-27,122.25
2017-03-28,121.6
2017-03-29,119.25
2017-03-30,117.8
2017-03-31,118.8
2017-04-03,118.85
2017-04-05,119.6
2017-04-06,120.75
2017-04-07,121.05
2017-04-10,123.05
2017-04-11,121.95
2017-04-12,121.85
2017-04-13,119.8
2017-04-17,120.0
2017-04-18,122.1
2017-04-19,123.7
2017-04-20,125.05
2017-04-21,126.85
2017-04-24,124.9
2017-04-25,123.2
2017-04-26,122.85
2017-04-27,125.1
2017-04-28,122.1
2017-05-02,122.05
2017-05-03,126.35
2017-05-04,122.25
2017-05-05,122.65
2017-05-08,124.1
2017-05-09,122.35
2017-05-10,122.1
2017-05-11,121.05
2017-05-12,118.9
2017-05-15,127.15
2017-05-16,129.55
2017-05-17,129.0
2017-05-18,122.75
2017-05-19,123.8
2017-05-22,125.35
2017-05-23,124.2
2017-05-24,122.4
2017-05-25,124.25
2017-05-26,135.15
2017-05-29,148.65
2017-05-30,142.45
2017-05-31,152.3
2017-06-01,167.5
2017-06-02,175.85
2017-06-05,177.25
2017-06-06,169.4
2017-06-07,172.15
2017-06-08,170.85
2017-06-09,172.9
2017-06-12,171.35
2017-06-13,168.3
2017-06-14,176.7
2017-06-15,172.3
2017-06-16,176.35
2017-06-19,176.05
2017-06-20,173.15
2017-06-21,169.8
2017-06-22,167.2
2017-06-23,167.8
2017-06-27,175.1
2017-06-28,175.6
2017-06-29,171.75
2017-06-30,171.2
2017-07-03,171.85
2017-07-04,169.6
2017-07-05,165.6
2017-07-06,163.4
2017-07-07,157.75
2017-07-10,82.8
2017-07-11,86.9
2017-07-12,91.2
2017-07-13,95.75
2017-07-14,100.5
2017-07-17,96.2
2017-07-18,96.0
2017-07-19,91.2
2017-07-20,86.65
2017-07-21,90.95
2017-07-24,94.7
2017-07-25,90.15
2017-07-26,88.15
2017-07-27,89.8
2017-07-28,90.0
2017-07-31,90.0
2017-08-01,88.05
2017-08-02,85.75
2017-08-03,84.55
2017-08-04,85.05
2017-08-07,85.05
2017-08-08,81.65
2017-08-09,79.55
2017-08-10,73.35
2017-08-11,73.45
2017-08-14,80.75
2017-08-16,87.15
2017-08-17,86.75
2017-08-18,86.5
2017-08-21,84.1
2017-08-22,81.75
2017-08-23,79.05
2017-08-24,78.75
2017-08-28,79.15
2017-08-29,77.85
2017-08-30,79.25
2017-08-31,78.05
2017-09-01,79.15
2017-09-04,82.3
2017-09-05,90.5
2017-09-06,99.55
2017-09-07,101.95
2017-09-08,96.9
2017-09-11,92.1
2017-09-12,96.7
2017-09-13,101.5
2017-09-14,106.55
2017-09-15,105.15
2017-09-18,105.3
2017-09-19,110.55
2017-09-20,112.05
2017-09-21,108.25
2017-09-22,103.7
2017-09-25,99.1
2017-09-26,101.55
2017-09-27,97.25
2017-09-28,94.45
2017-09-29,94.65
2017-10-03,95.4
2017-10-04,92.7
2017-10-05,93.1
2017-10-06,97.75
2017-10-09,98.45
2017-10-10,100.8
2017-10-11,97.65
2017-10-12,98.1
2017-10-13,98.3
2017-10-16,108.1
2017-10-17,118.9
2017-10-18,130.75
2017-10-19,137.25
2017-10-23,144.1
2017-10-24,151.3
2017-10-25,158.75
2017-10-26,155.75
2017-10-27,148.0
2017-10-30,144.35
2017-10-31,148.2
2017-11-01,149.95
2017-11-02,149.3
2017-11-03,146.9
2017-11-06,143.7
2017-11-07,136.55
2017-11-08,129.95
2017-11-09,127.7
2017-11-10,128.05
2017-11-13,131.0
2017-11-14,128.8
2017-11-15,129.4
2017-11-16,128.95
2017-11-17,125.1
2017-11-20,126.6
2017-11-21,129.45
2017-11-22,135.9
2017-11-23,142.65
2017-11-24,149.75
2017-11-27,149.35
2017-11-28,141.9
2017-11-29,137.35
2017-11-30,144.2
2017-12-01,144.55
2017-12-04,146.85
2017-12-05,148.6
2017-12-06,146.5
2017-12-07,149.3
2017-12-08,148.7
2017-12-11,160.65
2017-12-12,149.5
2017-12-13,142.65
2017-12-14,139.05
2017-12-15,143.15
2017-12-18,142.8
2017-12-19,143.55
2017-12-20,141.25
2017-12-21,140.55
2017-12-22,145.1
2017-12-26,143.2
2017-12-27,141.55
2017-12-28,143.4
2017-12-29,141.2
